name	type	model	replicate	fraction	phylo_aug_rate	species	accuracy_train	accuracy_test	pr_test
DeepSTARR_rep1_frac1.0	none	DeepSTARR	1	1.0	1.0	0	1.0	0.9545454382896423	0.06873872131109238
DeepSTARR_rep1_frac1.0	finetune	DeepSTARR	1	1.0	1.0	0	1.0	0.9527971744537354	0.07871835678815842
DeepSTARR_rep1_frac1.0	homologs	DeepSTARR	1	1.0	1.0	0	0.9709755182266235	0.7937062978744507	0.3233925700187683
DeepSTARR_rep1_frac1.0	homologs_finetune	DeepSTARR	1	1.0	1.0	0	0.9940876364707947	0.9545454382896423	0.3403407633304596
DeepSTARR_rep2_frac1.0	none	DeepSTARR	2	1.0	1.0	0	1.0	0.9527971744537354	0.07512393593788147
DeepSTARR_rep2_frac1.0	finetune	DeepSTARR	2	1.0	1.0	0	1.0	0.9475524425506592	0.07494936883449554
DeepSTARR_rep2_frac1.0	homologs	DeepSTARR	2	1.0	1.0	0	0.9720505475997925	0.9685314893722534	0.45340612530708313
DeepSTARR_rep2_frac1.0	homologs_finetune	DeepSTARR	2	1.0	1.0	0	0.9935501217842102	0.9685314893722534	0.4782353639602661
DeepSTARR_rep3_frac1.0	none	DeepSTARR	3	1.0	1.0	0	1.0	0.9562937021255493	0.1666223704814911
DeepSTARR_rep3_frac1.0	finetune	DeepSTARR	3	1.0	1.0	0	1.0	0.9562937021255493	0.1613774299621582
DeepSTARR_rep3_frac1.0	homologs	DeepSTARR	3	1.0	1.0	0	0.9645256400108337	0.9458041787147522	0.424707293510437
DeepSTARR_rep3_frac1.0	homologs_finetune	DeepSTARR	3	1.0	1.0	0	0.9919376373291016	0.9632866978645325	0.4036002457141876
DeepSTARR_rep4_frac1.0	none	DeepSTARR	4	1.0	1.0	0	1.0	0.9527971744537354	0.08402950316667557
DeepSTARR_rep4_frac1.0	finetune	DeepSTARR	4	1.0	1.0	0	1.0	0.9510489702224731	0.08273859322071075
DeepSTARR_rep4_frac1.0	homologs	DeepSTARR	4	1.0	1.0	0	0.964794397354126	0.9597902297973633	0.4626708924770355
DeepSTARR_rep4_frac1.0	homologs_finetune	DeepSTARR	4	1.0	1.0	0	0.9927439093589783	0.9615384340286255	0.4846023917198181
DeepSTARR_rep5_frac1.0	none	DeepSTARR	5	1.0	1.0	0	1.0	0.9545454382896423	0.16908767819404602
DeepSTARR_rep5_frac1.0	finetune	DeepSTARR	5	1.0	1.0	0	1.0	0.9562937021255493	0.13711632788181305
DeepSTARR_rep5_frac1.0	homologs	DeepSTARR	5	1.0	1.0	0	0.9674818515777588	0.9230769276618958	0.4909074604511261
DeepSTARR_rep5_frac1.0	homologs_finetune	DeepSTARR	5	1.0	1.0	0	0.9940876364707947	0.9667832255363464	0.44922327995300293
DeepSTARR_rep6_frac1.0	none	DeepSTARR	6	1.0	1.0	0	1.0	0.940559446811676	0.06307058036327362
DeepSTARR_rep6_frac1.0	finetune	DeepSTARR	6	1.0	1.0	0	1.0	0.9370629191398621	0.06648089736700058
DeepSTARR_rep6_frac1.0	homologs	DeepSTARR	6	1.0	1.0	0	0.9631819128990173	0.9475524425506592	0.5020875930786133
DeepSTARR_rep6_frac1.0	homologs_finetune	DeepSTARR	6	1.0	1.0	0	0.9903251528739929	0.9650349617004395	0.5301781296730042
